Date,GrossRevenue,NetRevenue,TotalCost,Orders,UnitsSold,ReturnUnits,ReturnRows,UniqueCustomers,RefundAmount,Profit,ProfitMarginPct,Sessions,ConversionRate,RefundRatePct,Profit_7d_avg,Profit_7d_std,ConversionRate_7d_avg,ConversionRate_7d_std,RefundRatePct_7d_avg,RefundRatePct_7d_std,GrossRevenue_7d_avg,GrossRevenue_7d_std
2010-12-01,62523.33,61872.87,39039.53350154921,143,28244,193,27,98,325.23,22833.336498450793,36.51970632154556,4317.0,3.312485522353486,0.5201738295129195,,,,,,,,
2010-12-02,51616.33,48534.13,49511.79542800578,167,32331,10325,45,117,1541.1000000000001,-977.6654280057846,-1.8941010102922557,6608.0,2.527239709443099,2.985683019308037,,,,,,,,
2010-12-03,50475.31,47828.81,27516.146655240198,108,17036,1861,44,55,1323.25,20312.6633447598,40.24277086115925,1957.0,5.518650996423097,2.6215787481047665,14056.111471734936,13080.49250564817,3.786125409406561,1.5509308266081916,2.0424785323085746,1.3308650142641971,54871.65666666667,6651.0570783998955
2010-12-05,33770.92,32988.92,21868.373409778003,95,17122,56,16,76,391.0,11120.546590221995,32.92935635221663,3673.0,2.5864416008712223,1.1578008535153914,13322.2202513567,10780.564676936221,3.486204457272726,1.4012142101517442,1.8213091126102785,1.1732283549961693,49596.4725,11865.972869614403
2010-12-06,57864.58,55924.020000000004,31158.064523463203,133,22640,587,58,90,970.28,24765.9554765368,42.79985351407856,5758.0,2.3098298020145887,1.6768116177461236,15610.96729639272,10646.936002719716,3.2509295262210984,1.322619526906783,1.7924096136374477,1.0180984652427616,51250.094,10921.23181848687
2010-12-07,160051.22,49037.64,77424.37906652146,111,26452,373,45,70,54559.15,-28386.739066521463,-17.73603416863768,2909.0,3.815744242007563,34.08855615096218,8278.016235907024,20330.244084360555,3.3450653121855094,1.2052498527520847,7.175100703191569,13.216255134543058,69383.615,45479.29360369562
2010-12-08,48575.54,46158.26,30139.55084100701,148,23887,394,76,112,1200.14,16018.709158992991,32.97690392941178,3765.0,3.9309428950863214,2.470667335864923,9383.82951063359,18788.08438251919,3.428762109742768,1.122300650634737,6.503038793573476,12.195060624024373,66411.03285714285,42255.08451947754
2010-12-09,56899.75,54779.15,34473.43475182576,183,21428,2304,92,122,1054.05,20305.715248174245,35.68682682819212,3870.0,4.728682170542635,1.8524685960834626,9022.740760594084,18508.72921461062,3.6310759166269326,1.2211407431164665,6.693366617369269,12.096119067437854,65607.66428571429,42394.5465579819
2010-12-10,64289.450000000004,60455.57,33106.987561281276,91,22214,862,76,54,1778.0100000000002,27348.582438718724,42.539767315972874,2972.0,3.0619111709286675,2.765632619348898,13069.347598697585,19046.616076519935,3.707457553982014,1.1555491725275544,6.661930845946535,12.107641101136641,67418.11,41965.90228022268
2010-12-12,18040.670000000002,17864.37,11478.65787571808,51,10851,38,12,42,88.15,6385.712124281919,35.39620271465482,1835.0,2.779291553133515,0.48861821650748005,11079.783138629315,18890.642731126758,3.3161204906549306,0.8680265836971764,6.357222198575493,12.252246395602851,62784.590000000004,45766.81527253125
2010-12-13,45992.28,37843.14,30124.74329734424,84,19597,106,22,61,2627.37,7718.396702655758,16.781939713916678,3555.0,2.3628691983122363,5.712632641825976,10593.761726119856,18933.136895354797,3.284181576003647,0.902767687383569,7.0079124540484345,12.049363601069077,64530.49857142857,44696.12125645186
2010-12-14,50179.06,45335.88,31609.52271665883,144,21635,672,80,104,2411.44,13726.357283341167,27.35475172978762,2617.0,5.50248376003057,4.80566993482939,9016.676269949048,17992.284113209833,3.7402749985773585,1.1109524227497507,7.454892213631758,11.875420545485978,63432.567142857144,44980.64523945149
2010-12-15,32381.05,30379.19,23607.067207395336,98,19010,264,42,86,1000.93,6772.122792604663,20.913845575127006,2200.0,4.454545454545455,3.09109803418975,14039.370821252782,7871.510266493186,3.8315323146542,1.1439320424951933,3.026683911235697,1.7597879759085655,45193.97142857143,15492.249129184393
2010-12-16,55103.31,53043.11,44583.43888481909,150,31991,322,40,117,1018.55,8459.671115180914,15.352382851739604,6066.0,2.472799208704253,1.8484370539628199,12959.508243565344,8070.693789888901,3.623226073742476,1.2506009133456921,2.9377938709639677,1.8076192201661274,46126.51,15920.27683016118
2010-12-17,50493.33,44175.05,25930.489778610034,72,17469,1390,10,52,1884.1399999999999,18244.56022138997,36.13261438964309,1980.0,3.6363636363636362,3.7314631457263756,12665.057525453303,7790.7498352947805,3.4671805688597614,1.154101662420224,3.206221663770098,1.7584334446904744,45211.30714285715,15372.456586486885
