StockCode,Description,UnitPrice_median,TotalQty,Supplier,CostPrice,LeadTimeDays,Category,SupplierClean,CategoryClean
10002,INFLATABLE POLITICAL GLOBE,0.85,1037,GlobalTrade Co,0.4364879897620766,44.0,Unknown,GlobalTrade Co,Other
10080,GROOVY CACTUS INFLATABLE,0.39,495,Unknown Vendor,0.2483400318095625,44.0,Kitchen,UNKNOWN,Kitchen
10120,DOGGY RUBBER,0.21,193,EuroParts GmbH,0.1276767743071819,12.0,Lighting,EuroParts GmbH,Lighting
10123C,HEARTS WRAPPING TAPE,0.65,-13,Pacific Importers,0.3972166523279705,8.0,Unknown,Pacific Importers,Other
10123G,UNKNOWN,0.0,-38,ACME SUPPLIES,0.0,7.0,Lighting,Acme Supplies Ltd,Lighting
10124A,SPOTS ON RED BOOKCOVER TAPE,0.42,16,ACME SUPPLIES,0.2525777984499774,8.0,Gifts,Acme Supplies Ltd,Gifts
10124G,ARMY CAMO BOOKCOVER TAPE,0.42,17,Acme Supplies Ltd,0.2310721682874918,27.0,Stationery,Acme Supplies Ltd,Stationery
10125,MINI FUNKY DESIGN TAPES,0.85,1296,,0.4220870015782127,6.0,Home Decor,UNKNOWN,Home Decor
10133,COLOURING PENCILS BROWN TUBE,0.79,2775,PACIFIC IMPORTERS LLC,0.5285127379975003,42.0,Stationery,Pacific Importers,Stationery
10134,UNKNOWN,0.0,-19,EuroParts GmbH,0.0,34.0,Unknown,EuroParts GmbH,Other
10135,COLOURING PENCILS BROWN TUBE,1.25,2230,Acme Supplies Ltd,0.8029050089425562,37.0,Unknown,Acme Supplies Ltd,Other
11001,ASSTD DESIGN RACING CAR PEN,1.69,1430,Unknown Vendor,0.8140163645970767,12.0,LIGHTING,UNKNOWN,Lighting
15030,FAN BLACK FRAME,0.29,293,Euro Parts,0.179471012250377,36.0,Stationery,EuroParts GmbH,Stationery
15034,PAPER POCKET TRAVELING FAN,0.14,5206,ACME SUPPLIES,0.0926068350893224,38.0,Stationery,Acme Supplies Ltd,Stationery
15036,ASSORTED COLOURS SILK FAN,0.83,22552,ACME SUPPLIES,0.3955363847273496,8.0,Gifts,Acme Supplies Ltd,Gifts
15039,SANDALWOOD FAN,0.85,2065,ACME SUPPLIES,0.3578331320062392,18.0,home decor,Acme Supplies Ltd,Home Decor
15044A,PINK PAPER PARASOL,2.95,463,GlobalTrade Co,1.315230389641485,21.0,Lighting,GlobalTrade Co,Lighting
15044B,BLUE PAPER PARASOL,2.95,293,Pacific Importers,1.805691868707334,36.0,LIGHTING,Pacific Importers,Lighting
15044C,PURPLE PAPER PARASOL,2.95,311,Global Trade Co.,2.057053414428072,27.0,Home Decor,GlobalTrade Co,Home Decor
15044D,RED PAPER PARASOL,2.95,643,GlobalTrade Co,1.2264592179255758,33.0,LIGHTING,GlobalTrade Co,Lighting
15056BL,EDWARDIAN PARASOL BLACK,5.95,2714,PACIFIC IMPORTERS LLC,3.9088699969542287,43.0,home decor,Pacific Importers,Home Decor
15056N,EDWARDIAN PARASOL NATURAL,5.95,3897,Acme Supplies Ltd,3.090796080190984,19.0,Stationery,Acme Supplies Ltd,Stationery
15056P,EDWARDIAN PARASOL PINK,5.95,768,GlobalTrade Co,3.376535330357406,32.0,Home Decor,GlobalTrade Co,Home Decor
15056BL,EDWARDIAN PARASOL BLACK,12.46,87,GlobalTrade Co,9.034756496876511,41.0,Stationery,GlobalTrade Co,Stationery
15056N,EDWARDIAN PARASOL NATURAL,12.46,127,Global Trade Co.,6.431727732153022,33.0,LIGHTING,GlobalTrade Co,Lighting
15056P,EDWARDIAN PARASOL PINK,12.46,33,Euro Parts,7.013334368910099,21.0,Lighting,EuroParts GmbH,Lighting
15058A,BLUE POLKADOT GARDEN PARASOL,7.95,185,ACME SUPPLIES,3.2180713190715955,37.0,Home Decor,Acme Supplies Ltd,Home Decor
15058B,PINK POLKADOT GARDEN PARASOL,10.79,162,Pacific Importers,4.624157566098272,23.0,home decor,Pacific Importers,Home Decor
15058C,ICE CREAM DESIGN GARDEN PARASOL,10.79,210,Pacific Importers,5.292571143920512,3.0,Kitchen,Pacific Importers,Kitchen
15060B,FAIRY CAKE DESIGN UMBRELLA,3.75,407,Acme Supplies Ltd,1.5365560660776605,6.0,Lighting,Acme Supplies Ltd,Lighting
15060B,FAIRY CAKE DESIGN UMBRELLA,8.29,3,PACIFIC IMPORTERS LLC,5.147935508529,30.0,home decor,Pacific Importers,Home Decor
16008,SMALL FOLDING SCISSOR(POINTED EDGE),0.12,1382,ACME SUPPLIES,0.0659087309856681,20.0,Home Decor,Acme Supplies Ltd,Home Decor
16010,FOLDING CAMPING SCISSOR W/KNIF & S,0.12,23,Acme Supplies Ltd,0.0710220985145769,28.0,Stationery,Acme Supplies Ltd,Stationery
16011,ANIMAL STICKERS,0.21,1773,,0.0968365681633802,42.0,home decor,UNKNOWN,Home Decor
16012,FOOD/DRINK SPONGE STICKERS,0.21,1244,Unknown Vendor,0.1057510041635912,21.0,Stationery,UNKNOWN,Stationery
16014,SMALL CHINESE STYLE SCISSOR,0.42,13328,Euro Parts,0.2655821978033506,8.0,Lighting,EuroParts GmbH,Lighting
16015,MEDIUM CHINESE STYLE SCISSOR,0.5,373,GlobalTrade Co,0.3689279766353199,3.0,Lighting,GlobalTrade Co,Lighting
16016,LARGE CHINESE STYLE SCISSOR,0.85,1273,Acme Supplies Ltd,0.3549989901466572,10.0,home decor,Acme Supplies Ltd,Home Decor
16020C,CLEAR STATIONERY BOX SET,0.83,77,EuroParts GmbH,0.5906566452084548,35.0,Stationery,EuroParts GmbH,Stationery
16033,MINI HIGHLIGHTER PENS,0.12,960,Global Trade Co.,0.0722290104550707,23.0,Home Decor,GlobalTrade Co,Home Decor
16043,POP ART PUSH DOWN RUBBER,0.12,53,Acme Supplies Ltd,0.0716846218037361,26.0,home decor,Acme Supplies Ltd,Home Decor
16045,POPART WOODEN PENCILS ASST,0.04,4333,Pacific Importers,0.0230038994929086,27.0,Kitchen,Pacific Importers,Kitchen
16046,TEATIME PEN CASE & PENS,0.85,89,Acme Supplies Ltd,0.3606447405564945,21.0,LIGHTING,Acme Supplies Ltd,Lighting
16048,TEATIME ROUND PENCIL SHARPENER,0.12,1461,,0.0517748277729187,31.0,Gifts,UNKNOWN,Gifts
16049,TEATIME GEL PENS ASST,0.12,547,acme-supplies,0.0732383042376816,12.0,Lighting,Acme Supplies Ltd,Lighting
16052,TEATIME PUSH DOWN RUBBER,0.625,463,PACIFIC IMPORTERS LLC,0.3245846875015284,14.0,Stationery,Pacific Importers,Stationery
16053,UNKNOWN,0.0,-102,GlobalTrade Co,0.0,35.0,Home Decor,GlobalTrade Co,Home Decor
16054,POPART RECT PENCIL SHARPENER ASST,0.12,1058,Pacific Importers,0.0650768025690978,9.0,Lighting,Pacific Importers,Lighting
16151A,FLOWERS HANDBAG BLUE AND ORANGE,1.25,47,Pacific Importers,0.5626856381824055,19.0,Home Decor,Pacific Importers,Home Decor
16156L,"WRAP, CAROUSEL",0.42,475,ACME SUPPLIES,2.7123974570882683,12.0,Lighting,Acme Supplies Ltd,Lighting
16156S,WRAP PINK FAIRY CAKES,0.42,5690,Unknown Vendor,0.2111229529518284,33.0,Stationery,UNKNOWN,Stationery
16161G,WRAP BAD HAIR DAY,0.1,700,Euro Parts,0.0583914607574562,8.0,Home Decor,EuroParts GmbH,Home Decor
16161M,WRAP  PINK FLOCK,0.42,25,,0.2705814194692599,19.0,Stationery,UNKNOWN,Stationery
16161P,WRAP ENGLISH ROSE,0.42,7201,,0.3003388243467044,39.0,Home Decor,UNKNOWN,Home Decor
16161U,WRAP SUKI AND FRIENDS,0.42,4050,Pacific Importers,0.2844521056358464,20.0,Lighting,Pacific Importers,Lighting
16162L,THE KING GIFT BAG,0.65,-4,,0.4138721429410447,28.0,Gifts,UNKNOWN,Gifts
16162M,ALAN HODGE CANT MAMAGE THIS SECTION,0.42,-26,Acme Supplies Ltd,0.2679060778120861,18.0,LIGHTING,Acme Supplies Ltd,Lighting
16168M,FUNKY MONKEY GIFT BAG MEDIUM,0.625,415,ACME SUPPLIES,0.4569210158820189,10.0,LIGHTING,Acme Supplies Ltd,Lighting
16169E,WRAP 50'S  CHRISTMAS,0.42,4125,Acme Supplies Ltd,0.2114861423319907,26.0,Gifts,Acme Supplies Ltd,Gifts
16169K,WRAP FOLK ART,0.42,175,GlobalTrade Co,0.1681634778468395,15.0,LIGHTING,GlobalTrade Co,Lighting
16169M,WRAP DAISY CARPET,0.42,660,GlobalTrade Co,0.2079773202315352,31.0,home decor,GlobalTrade Co,Home Decor
16169N,WRAP BLUE RUSSIAN FOLKART,0.42,25,acme-supplies,0.2000300328051313,34.0,Kitchen,Acme Supplies Ltd,Kitchen
16169P,WRAP GREEN RUSSIAN FOLKART,0.42,-25,Euro Parts,0.2652896840117577,26.0,Kitchen,EuroParts GmbH,Kitchen
16202A,PASTEL PINK PHOTO ALBUM,0.5,7,GlobalTrade Co,0.3108995299589676,18.0,home decor,GlobalTrade Co,Home Decor
16202B,PASTEL BLUE PHOTO ALBUM,0.5,20,GlobalTrade Co,0.3038557419733266,13.0,home decor,GlobalTrade Co,Home Decor
16202E,BLACK PHOTO ALBUM,0.5,14,Pacific Importers,0.2028426025616544,34.0,Unknown,Pacific Importers,Other
16206B,RED PURSE WITH PINK HEART,1.25,7,Acme Supplies Ltd,0.8188403988221582,8.0,Stationery,Acme Supplies Ltd,Stationery
16207A,PINK STRAWBERRY HANDBAG,2.46,63,Euro Parts,1.2625596851500085,37.0,Home Decor,EuroParts GmbH,Home Decor
16207B,PINK HEART RED HANDBAG,2.46,29,Acme Supplies Ltd,1.5566132065347094,35.0,Kitchen,Acme Supplies Ltd,Kitchen
16216,LETTER SHAPE PENCIL SHARPENER,0.06,3333,Unknown Vendor,0.0356881469985452,20.0,Lighting,UNKNOWN,Lighting
16218,CARTOON  PENCIL SHARPENERS,0.06,3821,Euro Parts,0.031197349433986,39.0,home decor,EuroParts GmbH,Home Decor
16219,HOUSE SHAPE PENCIL SHARPENER,0.83,3000,ACME SUPPLIES,0.3710944055937433,15.0,LIGHTING,Acme Supplies Ltd,Lighting
16225,RATTLE SNAKE EGGS,1.25,815,Acme Supplies Ltd,0.5413082677264605,12.0,Gifts,Acme Supplies Ltd,Gifts
16235,RECYCLED PENCIL WITH RABBIT ERASER,0.315,3103,Euro Parts,0.2176748962256226,39.0,Home Decor,EuroParts GmbH,Home Decor
16236,KITTY PENCIL ERASERS,0.21,1438,EuroParts GmbH,0.1515022193429945,28.0,Unknown,EuroParts GmbH,Other
16237,SLEEPING CAT ERASERS,0.21,4934,EuroParts GmbH,0.131759421437176,19.0,Gifts,EuroParts GmbH,Gifts
16238,PARTY TIME PENCIL ERASERS,0.21,1398,Euro Parts,0.0916024074422455,3.0,LIGHTING,EuroParts GmbH,Lighting
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,0.5,2,Acme Supplies Ltd,0.2703547629554421,27.0,home decor,Acme Supplies Ltd,Home Decor
16248B,BLUE HOLE PUNCH,1.25,15,GlobalTrade Co,0.8189109000460062,36.0,Home Decor,GlobalTrade Co,Home Decor
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,1.63,35,Acme Supplies Ltd,1.0968878143277436,41.0,home decor,Acme Supplies Ltd,Home Decor
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,0.42,471,,0.18537813747679,12.0,Kitchen,UNKNOWN,Kitchen
16259,PIECE OF CAMO STATIONERY SET,0.08,105,PACIFIC IMPORTERS LLC,0.0320008601276707,22.0,Kitchen,Pacific Importers,Kitchen
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,0.29,72,GlobalTrade Co,0.1882819101568814,9.0,Stationery,GlobalTrade Co,Stationery
