InvoiceNo,StockCode,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,RefundAmount,ReturnReason,ReturnReasonClean,Date
C536379,D,-1,2010-12-01 09:41:00,27.5,14527.0,United Kingdom,27.5,,Unspecified,2010-12-01
C536383,35004C,-1,2010-12-01 09:49:00,4.65,15311.0,United Kingdom,4.65,Late Delivery,Late Delivery,2010-12-01
C536391,22556,-12,2010-12-01 10:24:00,1.65,17548.0,United Kingdom,19.8,WRONG ITEM,Wrong Item,2010-12-01
C536391,21984,-24,2010-12-01 10:24:00,0.29,17548.0,United Kingdom,6.959999999999999,Damaged,Damaged,2010-12-01
C536391,21983,-24,2010-12-01 10:24:00,0.29,17548.0,United Kingdom,6.959999999999999,Wrong Item,Wrong Item,2010-12-01
C536391,21980,-24,2010-12-01 10:24:00,0.29,17548.0,United Kingdom,6.959999999999999,Changed Mind,Changed Mind,2010-12-01
C536391,21484,-12,2010-12-01 10:24:00,3.45,17548.0,United Kingdom,41.400000000000006,Wrong Item,Wrong Item,2010-12-01
C536391,22557,-12,2010-12-01 10:24:00,1.65,17548.0,United Kingdom,19.8,Damaged,Damaged,2010-12-01
C536391,22553,-24,2010-12-01 10:24:00,1.65,17548.0,United Kingdom,39.6,Changed Mind,Changed Mind,2010-12-01
C536506,22960,-6,2010-12-01 12:38:00,4.25,17897.0,United Kingdom,25.5,Wrong Item,Wrong Item,2010-12-01
C536543,22632,-1,2010-12-01 14:30:00,2.1,17841.0,United Kingdom,2.1,Wrong Item,Wrong Item,2010-12-01
C536543,22355,-2,2010-12-01 14:30:00,0.85,17841.0,United Kingdom,1.7,WRONG ITEM,Wrong Item,2010-12-01
C536548,22244,-4,2010-12-01 14:33:00,1.95,12472.0,Germany,7.8,Wrong Item,Wrong Item,2010-12-01
C536548,22242,-5,2010-12-01 14:33:00,1.65,12472.0,Germany,8.25,Damaged,Damaged,2010-12-01
C536548,20914,-1,2010-12-01 14:33:00,2.95,12472.0,Germany,2.95,Damaged,Damaged,2010-12-01
C536548,22892,-7,2010-12-01 14:33:00,1.25,12472.0,Germany,8.75,,Unspecified,2010-12-01
C536548,22654,-1,2010-12-01 14:33:00,5.95,12472.0,Germany,5.95,Late Delivery,Late Delivery,2010-12-01
C536548,22767,-2,2010-12-01 14:33:00,9.95,12472.0,Germany,19.9,Damaged,Damaged,2010-12-01
C536548,22333,-1,2010-12-01 14:33:00,1.65,12472.0,Germany,1.65,Wrong Item,Wrong Item,2010-12-01
C536548,22245,-2,2010-12-01 14:33:00,0.85,12472.0,Germany,1.7,Late Delivery,Late Delivery,2010-12-01
