Date,Sessions,UniqueVisitors,Channel,Device,ChannelClean,DeviceClean
2010-12-01,4317.0,4003,Paid Search,MOBILE,Paid Search,Mobile
2010-12-02,6608.0,5601,PAID,,Paid Search,Unknown
2010-12-03,1957.0,1736,Paid Search,Desktop,Paid Search,Desktop
2010-12-05,3673.0,3233,Email,Tablet,Email,Tablet
2010-12-06,5758.0,4784,Organic,,Organic,Unknown
2010-12-07,2909.0,2139,Direct,Mobile,Direct,Mobile
2010-12-08,3765.0,3451,Paid Search,Mobile,Paid Search,Mobile
2010-12-09,3870.0,3081,Direct,MOBILE,Direct,Mobile
2010-12-10,2972.0,2723,Paid Search,Tablet,Paid Search,Tablet
2010-12-12,1835.0,1741,Social,desktop,Social,Desktop
2010-12-13,3555.0,3244,Organic,MOBILE,Organic,Mobile
2010-12-14,2617.0,1997,Organic,Desktop,Organic,Desktop
2010-12-15,2200.0,1794,Email,MOBILE,Email,Mobile
2010-12-16,6066.0,4502,organic,Mobile,Organic,Mobile
2010-12-17,1980.0,1690,Paid Search,Desktop,Paid Search,Desktop
2010-12-19,760.0,623,Email,Desktop,Email,Desktop
2010-12-20,1848.0,1608,Email,Mobile,Email,Mobile
2010-12-21,2460.0,2120,Social,desktop,Social,Desktop
2010-12-22,117.0,90,,Mobile,Unknown,Mobile
2010-12-23,1432.0,1259,Social,Mobile,Social,Mobile
2011-01-04,1811.0,1552,Email,Mobile,Email,Mobile
2011-01-05,1584.0,1447,Email,Tablet,Email,Tablet
2011-01-06,519.0,439,Direct,Desktop,Direct,Desktop
2011-01-07,3028.0,2247,Organic,Desktop,Organic,Desktop
2011-01-09,2353.0,2213,Email,Tablet,Email,Tablet
2011-01-10,2353.0,1109,Email,MOBILE,Email,Mobile
2011-01-11,639.0,448,Organic,Tablet,Organic,Tablet
2011-01-12,2554.0,1823,Email,Desktop,Email,Desktop
2011-01-13,2105.0,1671,PAID,,Paid Search,Unknown
2011-01-14,1509.0,1395,Email,,Email,Unknown
