Date,Sessions,UniqueVisitors,Channel,Device
2010-12-01,4317.0,4003,Paid Search,MOBILE
2010-12-02,6608.0,5601,PAID,
2010-12-03,1957.0,1736,Paid Search,Desktop
2010-12-05,3673.0,3233,Email,Tablet
2010-12-06,5758.0,4784,Organic,
2010-12-07,2909.0,2139,Direct,Mobile
2010-12-08,3765.0,3451,Paid Search,Mobile
2010-12-09,3870.0,3081,Direct,MOBILE
2010-12-10,2972.0,2723,Paid Search,Tablet
2010-12-12,1835.0,1741,Social,desktop
2010-12-13,3555.0,3244,Organic,MOBILE
2010-12-14,2617.0,1997,Organic,Desktop
2010-12-15,2200.0,1794,Email,MOBILE
2010-12-16,6066.0,4502,organic,Mobile
2010-12-17,1980.0,1690,Paid Search,Desktop
2010-12-19,760.0,623,Email,Desktop
2010-12-20,1848.0,1608,Email,Mobile
2010-12-21,2460.0,2120,Social,desktop
2010-12-22,117.0,90,,Mobile
2010-12-23,1432.0,1259,Social,Mobile
2011-01-04,1811.0,1552,Email,Mobile
2011-01-05,1584.0,1447,Email,Tablet
2011-01-06,519.0,439,Direct,Desktop
2011-01-07,3028.0,2247,Organic,Desktop
2011-01-09,2353.0,2213,Email,Tablet
2011-01-10,,1109,Email,MOBILE
2011-01-11,639.0,448,Organic,Tablet
2011-01-12,2554.0,1823,Email,Desktop
2011-01-13,2105.0,1671,PAID,
2011-01-14,1509.0,1395,Email,
2011-01-16,1277.0,1002,organic,Mobile
2011-01-17,1782.0,1575,Direct,Tablet
2011-01-18,2225.0,1955,Email,desktop
2011-01-19,,1255,organic,desktop
2011-01-20,,1946,organic,MOBILE
2011-01-21,1681.0,1391,Direct,MOBILE
2011-01-23,1212.0,1099,Email,desktop
2011-01-24,2701.0,2468,Direct,Tablet
2011-01-25,2864.0,2452,organic,Tablet
2011-01-26,3129.0,2372,PAID,desktop
2011-01-27,2270.0,1941,organic,Mobile
2011-01-28,2965.0,2087,Paid Search,MOBILE
2011-01-30,778.0,590,Direct,MOBILE
2011-01-31,,1739,organic,Mobile
2011-02-01,3013.0,2776,Email,desktop
2011-02-02,3074.0,2337,Organic,
2011-02-03,2651.0,2274,Paid Search,
2011-02-04,1894.0,1497,Social,
2011-02-06,579.0,512,Organic,Desktop
2011-02-07,1897.0,1396,Organic,
2011-02-08,2655.0,2062,,MOBILE
2011-02-09,1508.0,1299,Paid Search,Mobile
2011-02-10,,1082,organic,desktop
2011-02-11,278.0,211,Organic,
2011-02-13,610.0,521,Organic,Desktop
2011-02-14,386.0,326,Paid Search,Desktop
2011-02-15,2800.0,2530,Email,MOBILE
2011-02-16,3589.0,2719,Organic,Mobile
2011-02-17,3144.0,2262,,MOBILE
2011-02-18,1226.0,1058,,MOBILE
2011-02-20,1092.0,971,Organic,Desktop
2011-02-21,1516.0,1109,Direct,Mobile
2011-02-22,2887.0,2080,organic,Mobile
2011-02-23,1991.0,1531,Paid Search,Tablet
2011-02-24,3290.0,2645,Organic,Tablet
2011-02-25,2085.0,1860,Social,desktop
2011-02-27,1560.0,1420,,Tablet
2011-02-28,2395.0,2258,Email,Tablet
2011-03-01,3279.0,2624,PAID,desktop
2011-03-02,1648.0,1536,Direct,Mobile
2011-03-03,2496.0,2134,Organic,Desktop
2011-03-04,2627.0,2207,Organic,Desktop
2011-03-06,825.0,643,Organic,
2011-03-07,3072.0,2164,Social,Desktop
2011-03-08,1975.0,1755,Social,Tablet
2011-03-09,,1254,Direct,Mobile
2011-03-10,3364.0,2873,Paid Search,Tablet
2011-03-11,1714.0,1545,Paid Search,Mobile
2011-03-13,768.0,601,Paid Search,Tablet
2011-03-14,1908.0,1409,Social,MOBILE
2011-03-15,2928.0,2422,,MOBILE
2011-03-16,2313.0,2129,Paid Search,
2011-03-17,1584.0,1135,Email,MOBILE
2011-03-18,1961.0,1387,Paid Search,MOBILE
2011-03-20,2882.0,2474,Email,desktop
2011-03-21,1716.0,1265,Email,Tablet
2011-03-22,1836.0,1722,Paid Search,desktop
2011-03-23,3843.0,3252,organic,MOBILE
2011-03-24,2648.0,2140,Direct,
2011-03-25,1631.0,1548,Direct,
2011-03-27,1645.0,1407,Email,desktop
2011-03-28,656.0,541,PAID,
2011-03-29,2278.0,1723,PAID,Desktop
2011-03-30,3715.0,2665,Direct,Tablet
2011-03-31,,1599,,desktop
2011-04-01,4632.0,4301,PAID,
2011-04-03,507.0,368,Direct,Mobile
2011-04-04,2679.0,2443,organic,Mobile
2011-04-05,3329.0,3046,Direct,MOBILE
2011-04-06,2435.0,1826,organic,
2011-04-07,1762.0,1254,Paid Search,Tablet
2011-04-08,3945.0,2797,Paid Search,
2011-04-10,1627.0,1428,Paid Search,Tablet
2011-04-11,1778.0,1647,organic,Desktop
2011-04-12,2682.0,2483,Paid Search,MOBILE
2011-04-13,3393.0,2542,Email,Desktop
2011-04-14,3295.0,2417,Social,Desktop
2011-04-15,2918.0,2410,organic,Tablet
2011-04-17,2415.0,1816,PAID,Desktop
2011-04-18,3534.0,3347,Direct,desktop
2011-04-19,2849.0,2043,Paid Search,Desktop
2011-04-20,2963.0,2207,organic,Tablet
2011-04-21,2528.0,1981,Paid Search,
