Date,KPI,Value,ZScore,Direction,Severity
2010-12-07,MultiKPI_Anomaly,,,Anomaly,High
2010-12-22,ConversionRate,18.803,3.37,Spike,High
2010-12-22,MultiKPI_Anomaly,,,Anomaly,High
2011-01-05,Profit,-37137.92,-2.89,Drop,Medium
2011-01-05,RefundRate,48.13,3.42,Spike,High
2011-01-05,MultiKPI_Anomaly,,,Anomaly,High
2011-01-10,InventoryInconsistency,6.25,-2.08,Spike,Medium
2011-01-11,MultiKPI_Anomaly,,,Anomaly,High
2011-01-18,Profit,-90715.32,-3.12,Drop,Medium
2011-01-18,RefundRate,44.43,2.23,Spike,Medium
2011-01-18,MultiKPI_Anomaly,,,Anomaly,High
2011-01-31,ConversionRate,10.925,3.34,Spike,High
2011-02-11,ConversionRate,34.173,3.35,Spike,High
2011-02-11,MultiKPI_Anomaly,,,Anomaly,High
2011-02-21,RefundRate,24.67,3.09,Spike,High
2011-03-17,ConversionRate,5.556,2.3,Spike,Medium
2011-03-18,RefundRate,27.11,3.15,Spike,High
2011-03-28,Profit,-94648.84,-3.42,Drop,Medium
2011-03-28,ConversionRate,12.957,3.23,Spike,High
2011-03-28,MultiKPI_Anomaly,,,Anomaly,High
