Date,KPI,Value,ZScore,Direction,Severity
2010-12-07,MultiKPI_Anomaly,,,Anomaly,High
2010-12-22,ConversionRate,18.803,3.37,Spike,High
2010-12-22,MultiKPI_Anomaly,,,Anomaly,High
2011-01-05,Profit,-37137.92,-2.89,Drop,Medium
2011-01-05,RefundRate,48.13,3.42,Spike,High
2011-01-05,MultiKPI_Anomaly,,,Anomaly,High
2011-01-10,InventoryInconsistency,6.25,-2.08,Spike,Medium
2011-01-11,MultiKPI_Anomaly,,,Anomaly,High
2011-01-18,Profit,-90715.32,-3.12,Drop,Medium
2011-01-18,RefundRate,44.43,2.23,Spike,Medium
2011-01-18,MultiKPI_Anomaly,,,Anomaly,High
2011-01-31,ConversionRate,10.925,3.34,Spike,High
2011-02-11,ConversionRate,34.173,3.35,Spike,High
2011-02-11,MultiKPI_Anomaly,,,Anomaly,High
2011-02-21,RefundRate,24.67,3.09,Spike,High
2011-03-17,ConversionRate,5.556,2.3,Spike,Medium
2011-03-18,RefundRate,27.11,3.15,Spike,High
2011-03-28,Profit,-94648.84,-3.42,Drop,Medium
2011-03-28,ConversionRate,12.957,3.23,Spike,High
2011-03-28,MultiKPI_Anomaly,,,Anomaly,High
2011-04-04,RefundRate,14.95,2.32,Spike,Medium
2011-04-15,Profit,14107.57,2.57,Spike,Medium
2011-04-18,Profit,-44110.06,-3.4,Drop,Medium
2011-04-18,RefundRate,25.03,2.88,Spike,Medium
2011-04-18,MultiKPI_Anomaly,,,Anomaly,High
2011-04-24,InventoryInconsistency,26.25,2.26,Spike,Medium
2011-05-03,RefundRate,26.09,2.39,Spike,Medium
2011-05-16,Profit,-11295.04,-2.52,Drop,Medium
2011-05-16,RefundRate,25.0,2.24,Spike,Medium
2011-05-16,InventoryInconsistency,25.0,2.47,Spike,Medium
2011-05-17,ConversionRate,13.326,3.22,Spike,High
2011-05-25,Profit,-23439.36,-2.72,Drop,Medium
2011-06-05,ConversionRate,9.103,2.85,Spike,Medium
2011-06-10,RefundRate,27.97,3.42,Spike,High
2011-06-10,MultiKPI_Anomaly,,,Anomaly,High
2011-06-24,RefundRate,33.47,2.51,Spike,Medium
2011-06-24,MultiKPI_Anomaly,,,Anomaly,High
2011-07-11,ConversionRate,13.519,3.37,Spike,High
2011-07-13,Profit,-9106.53,-2.55,Drop,Medium
2011-07-13,RefundRate,31.95,3.44,Spike,High
2011-07-13,MultiKPI_Anomaly,,,Anomaly,High
2011-08-02,Profit,-7119.07,-2.61,Drop,Medium
2011-08-02,RefundRate,29.66,2.88,Spike,Medium
2011-08-11,Profit,36827.76,2.84,Spike,Medium
2011-08-12,InventoryInconsistency,10.0,-2.16,Spike,Medium
2011-08-24,RefundRate,18.38,2.92,Spike,Medium
2011-08-31,RefundRate,25.46,2.68,Spike,Medium
2011-08-31,ConversionRate,31.367,3.46,Spike,High
2011-08-31,MultiKPI_Anomaly,,,Anomaly,High
2011-09-20,Profit,49350.1,3.08,Spike,Medium
2011-09-20,MultiKPI_Anomaly,,,Anomaly,High
2011-10-11,RefundRate,20.92,2.78,Spike,Medium
2011-11-02,InventoryInconsistency,26.25,2.08,Spike,Medium
2011-11-09,ConversionRate,11.38,3.22,Spike,High
2011-11-14,Profit,58948.96,2.87,Spike,Medium
2011-11-14,MultiKPI_Anomaly,,,Anomaly,High
2011-11-27,ConversionRate,1.508,-2.1,Drop,Medium
2011-11-30,ConversionRate,4.628,2.29,Spike,Medium
2011-12-05,RefundRate,25.17,3.39,Spike,High
2011-12-05,MultiKPI_Anomaly,,,Anomaly,High
2011-12-09,Profit,-228304.76,-3.44,Drop,Medium
2011-12-09,RefundRate,45.49,3.01,Spike,High
2011-12-09,MultiKPI_Anomaly,,,Anomaly,High
