Date,Snapshots,NegativeStockCount,MissingQtyCount,TotalOnHand,InconsistencyRatePct
2010-12-01,80,6,2,3535.0,10.0
2010-12-03,80,8,2,3629.0,12.5
2010-12-05,80,10,6,2944.0,20.0
2010-12-07,80,9,5,3284.0,17.5
2010-12-09,80,8,3,3323.0,13.750000000000002
2010-12-11,80,8,3,3793.0,13.750000000000002
2010-12-13,80,7,2,3527.0,11.25
2010-12-15,80,9,2,3309.0,13.750000000000002
2010-12-17,80,10,8,3323.0,22.5
2010-12-19,80,6,4,3745.0,12.5
2010-12-21,80,4,8,3480.0,15.0
2010-12-23,80,9,5,3243.0,17.5
2010-12-25,80,8,5,3121.0,16.25
2010-12-27,80,8,3,3760.0,13.750000000000002
2010-12-29,80,12,2,2986.0,17.5
2010-12-31,80,8,6,3186.0,17.5
2011-01-02,80,5,3,3011.0,10.0
2011-01-04,80,10,3,3338.0,16.25
2011-01-06,80,4,8,3817.0,15.0
2011-01-08,80,8,9,3096.0,21.25
2011-01-10,80,5,0,3764.0,6.25
2011-01-12,80,9,3,3324.0,15.0
2011-01-14,80,9,3,3036.0,15.0
2011-01-16,80,6,6,3267.0,15.0
2011-01-18,80,3,6,3549.0,11.25
2011-01-20,80,17,2,2680.0,23.75
2011-01-22,80,10,8,2994.0,22.5
2011-01-24,80,5,4,3649.0,11.25
2011-01-26,80,8,3,2945.0,13.750000000000002
2011-01-28,80,8,3,3269.0,13.750000000000002
2011-01-30,80,8,1,3247.0,11.25
2011-02-01,80,5,4,4113.0,11.25
2011-02-03,80,6,4,3057.0,12.5
2011-02-05,80,7,3,3159.0,12.5
2011-02-07,80,15,1,2844.0,20.0
2011-02-09,80,10,3,3132.0,16.25
2011-02-11,80,11,4,3092.0,18.75
2011-02-13,80,14,1,2380.0,18.75
2011-02-15,80,7,4,3681.0,13.750000000000002
2011-02-17,80,6,5,3238.0,13.750000000000002
2011-02-19,80,7,4,3042.0,13.750000000000002
2011-02-21,80,12,4,3130.0,20.0
2011-02-23,80,8,3,3236.0,13.750000000000002
2011-02-25,80,6,4,3593.0,12.5
2011-02-27,80,11,2,3116.0,16.25
2011-03-01,80,12,3,3314.0,18.75
2011-03-03,80,6,4,3609.0,12.5
2011-03-05,80,7,2,3512.0,11.25
2011-03-07,80,7,3,3484.0,12.5
2011-03-09,80,12,5,2647.0,21.25
2011-03-11,80,11,3,2993.0,17.5
2011-03-13,80,11,5,3269.0,20.0
2011-03-15,80,8,2,3343.0,12.5
2011-03-17,80,8,3,3253.0,13.750000000000002
2011-03-19,80,15,6,2719.0,26.25
2011-03-21,80,8,2,3129.0,12.5
2011-03-23,80,8,5,3353.0,16.25
2011-03-25,80,10,6,3329.0,20.0
2011-03-27,80,7,5,3080.0,15.0
2011-03-29,80,9,7,3312.0,20.0
2011-03-31,80,8,5,3491.0,16.25
2011-04-02,80,9,5,3331.0,17.5
2011-04-04,80,13,2,2960.0,18.75
2011-04-06,80,7,2,3712.0,11.25
2011-04-08,80,11,4,2825.0,18.75
2011-04-10,80,4,6,3559.0,12.5
2011-04-12,80,8,2,2808.0,12.5
2011-04-14,80,5,8,3317.0,16.25
2011-04-16,80,11,4,3213.0,18.75
2011-04-18,80,9,5,2956.0,17.5
2011-04-20,80,6,6,3315.0,15.0
2011-04-22,80,8,5,3358.0,16.25
2011-04-24,80,15,6,2653.0,26.25
2011-04-26,80,7,1,3649.0,10.0
2011-04-28,80,9,3,2742.0,15.0
2011-04-30,80,9,2,3456.0,13.750000000000002
2011-05-02,80,9,7,2773.0,20.0
2011-05-04,80,9,4,2746.0,16.25
2011-05-06,80,9,3,3431.0,15.0
2011-05-08,80,9,3,3348.0,15.0
2011-05-10,80,6,7,3377.0,16.25
2011-05-12,80,10,3,3255.0,16.25
2011-05-14,80,10,2,3337.0,15.0
2011-05-16,80,12,8,2756.0,25.0
2011-05-18,80,7,4,3178.0,13.750000000000002
2011-05-20,80,11,3,3282.0,17.5
2011-05-22,80,12,5,2629.0,21.25
2011-05-24,80,14,5,2600.0,23.75
2011-05-26,80,7,2,3642.0,11.25
2011-05-28,80,8,3,3403.0,13.750000000000002
2011-05-30,80,8,5,3348.0,16.25
2011-06-01,80,9,1,2876.0,12.5
2011-06-03,80,8,5,3339.0,16.25
2011-06-05,80,12,7,2785.0,23.75
2011-06-07,80,5,2,3633.0,8.75
2011-06-09,80,7,2,3601.0,11.25
2011-06-11,80,11,4,2846.0,18.75
2011-06-13,80,11,3,2967.0,17.5
2011-06-15,80,5,3,3744.0,10.0
2011-06-17,80,10,4,2689.0,17.5
2011-06-19,80,13,4,2802.0,21.25
2011-06-21,80,11,4,2820.0,18.75
2011-06-23,80,7,2,3499.0,11.25
2011-06-25,80,10,4,3380.0,17.5
2011-06-27,80,10,6,3187.0,20.0
2011-06-29,80,9,10,2951.0,23.75
2011-07-01,80,9,3,3578.0,15.0
2011-07-03,80,10,4,3331.0,17.5
2011-07-05,80,14,5,2686.0,23.75
2011-07-07,80,7,5,3140.0,15.0
2011-07-09,80,7,5,3492.0,15.0
2011-07-11,80,4,3,3760.0,8.75
2011-07-13,80,17,2,2218.0,23.75
2011-07-15,80,8,2,3007.0,12.5
2011-07-17,80,8,3,3284.0,13.750000000000002
2011-07-19,80,9,3,3359.0,15.0
2011-07-21,80,12,5,2737.0,21.25
2011-07-23,80,7,6,2929.0,16.25
2011-07-25,80,10,4,3076.0,17.5
2011-07-27,80,9,4,2988.0,16.25
2011-07-29,80,10,2,3010.0,15.0
2011-07-31,80,8,5,2913.0,16.25
2011-08-02,80,10,5,3275.0,18.75
2011-08-04,80,12,4,3007.0,20.0
2011-08-06,80,9,5,3309.0,17.5
2011-08-08,80,13,4,3227.0,21.25
2011-08-10,80,8,4,3570.0,15.0
2011-08-12,80,5,3,3511.0,10.0
2011-08-14,80,11,2,2837.0,16.25
2011-08-16,80,10,4,2842.0,17.5
2011-08-18,80,8,2,3316.0,12.5
2011-08-20,80,7,4,3212.0,13.750000000000002
2011-08-22,80,8,5,3002.0,16.25
2011-08-24,80,12,3,3517.0,18.75
2011-08-26,80,2,3,3970.0,6.25
2011-08-28,80,11,4,2607.0,18.75
2011-08-30,80,7,3,3385.0,12.5
2011-09-01,80,15,1,2423.0,20.0
2011-09-03,80,7,7,3064.0,17.5
2011-09-05,80,11,3,2994.0,17.5
2011-09-07,80,9,4,3269.0,16.25
2011-09-09,80,5,4,3397.0,11.25
2011-09-11,80,7,4,3393.0,13.750000000000002
2011-09-13,80,9,6,3152.0,18.75
2011-09-15,80,4,4,3337.0,10.0
2011-09-17,80,9,5,3239.0,17.5
2011-09-19,80,14,1,2812.0,18.75
2011-09-21,80,5,8,3587.0,16.25
2011-09-23,80,8,0,3279.0,10.0
2011-09-25,80,10,9,2833.0,23.75
2011-09-27,80,10,4,3193.0,17.5
2011-09-29,80,9,4,3286.0,16.25
2011-10-01,80,9,3,3017.0,15.0
2011-10-03,80,12,6,1994.0,22.5
2011-10-05,80,10,5,2746.0,18.75
2011-10-07,80,8,3,3286.0,13.750000000000002
2011-10-09,80,10,3,3364.0,16.25
2011-10-11,80,10,5,2955.0,18.75
2011-10-13,80,8,5,3700.0,16.25
2011-10-15,80,8,4,3431.0,15.0
2011-10-17,80,8,6,2923.0,17.5
2011-10-19,80,9,8,3023.0,21.25
2011-10-21,80,7,2,3535.0,11.25
2011-10-23,80,6,2,3507.0,10.0
2011-10-25,80,8,5,3085.0,16.25
2011-10-27,80,9,3,3476.0,15.0
2011-10-29,80,10,1,3239.0,13.750000000000002
2011-10-31,80,7,1,3405.0,10.0
2011-11-02,80,15,6,2177.0,26.25
2011-11-04,80,9,4,3113.0,16.25
2011-11-06,80,9,3,3162.0,15.0
2011-11-08,80,13,3,3310.0,20.0
2011-11-10,80,4,3,3864.0,8.75
2011-11-12,80,11,3,2669.0,17.5
2011-11-14,80,9,2,3512.0,13.750000000000002
2011-11-16,80,12,4,2974.0,20.0
2011-11-18,80,11,7,3108.0,22.5
2011-11-20,80,6,5,3338.0,13.750000000000002
2011-11-22,80,5,6,3095.0,13.750000000000002
2011-11-24,80,10,2,2874.0,15.0
2011-11-26,80,6,5,3377.0,13.750000000000002
2011-11-28,80,3,3,3621.0,7.5
2011-11-30,80,15,3,2607.0,22.5
2011-12-02,80,9,6,3055.0,18.75
2011-12-04,80,6,9,3309.0,18.75
2011-12-06,80,7,1,3691.0,10.0
2011-12-08,80,9,7,2860.0,20.0
