YearWeek,SupplierClean,Revenue,Units,AvgUnitPrice,Orders
2010-48,Acme Supplies Ltd,57924.41,28656,3.64349774339136,362
2010-48,EuroParts GmbH,23959.81,12179,3.363427095292767,322
2010-48,GlobalTrade Co,42279.41,23424,3.402874762808349,342
2010-48,Pacific Importers,33668.31,16060,3.65474,351
2010-48,UNKNOWN,36973.37,14414,5.316874205844981,310
2010-49,Acme Supplies Ltd,95896.34,39056,3.844793875147232,474
2010-49,EuroParts GmbH,58870.52,22922,8.52441450777202,431
2010-49,GlobalTrade Co,63079.9,23323,4.281976850441669,439
2010-49,Pacific Importers,61103.14,24920,3.8904375,445
2010-49,UNKNOWN,66020.21,17251,8.569503081664099,413
2010-50,Acme Supplies Ltd,69961.84,37400,3.710114101813926,392
2010-50,EuroParts GmbH,32034.83,19622,3.382695473251029,354
2010-50,GlobalTrade Co,50789.79,22451,4.025990484429066,360
2010-50,Pacific Importers,38509.14,18853,4.277900188323917,358
2010-50,UNKNOWN,39358.34,15464,6.788032879818594,343
2010-51,Acme Supplies Ltd,27612.21,11744,4.309883720930232,132
2010-51,EuroParts GmbH,14755.62,7523,5.708603773584906,119
2010-51,GlobalTrade Co,20481.36,9193,5.906431492842535,121
2010-51,Pacific Importers,15064.09,7102,4.369988179669031,116
2010-51,UNKNOWN,21423.3,6687,11.023662337662337,115
2011-01,Acme Supplies Ltd,40165.4,25633,3.0667936925098553,224
2011-01,EuroParts GmbH,21887.89,13249,2.9405327573794096,195
2011-01,GlobalTrade Co,34317.75,16813,3.187909270216963,212
2011-01,Pacific Importers,21781.170000000002,12879,3.1944664310954063,202
2011-01,UNKNOWN,27905.87,13626,4.651555042340262,199
2011-02,Acme Supplies Ltd,62418.31,28713,3.4880433969322855,229
2011-02,EuroParts GmbH,38839.37,19469,3.1140709561034274,207
2011-02,GlobalTrade Co,43784.93,20329,3.480248728094969,214
2011-02,Pacific Importers,31576.36,14341,3.6544284064665127,211
2011-02,UNKNOWN,37787.87,15667,6.173262798634812,209
2011-03,Acme Supplies Ltd,120214.95000000001,98248,3.256428822495606,210
2011-03,EuroParts GmbH,21399.89,12209,3.0297062146892655,191
2011-03,GlobalTrade Co,29311.9,13127,3.552129380053908,196
2011-03,Pacific Importers,24804.03,12467,3.5043787629994525,193
